,0
25,"Amazing Hotel overall. From staffs, facility, rooms and the restaurants. Even though we don't gamble that much but the casino is beautiful and clean. They're staffs are very accommodating and friendly. The room we got with a fantastic view facing the golf course and it's pretty clean. We, love the buffet especially for breakfast. Also the decorations in this hotel is beautiful. We definitely would love to go back."
26,The eggs and the toast were cold and there was no butter or forks on the tray
27,Magnificent hotel that provided a memorable stay. Everything was 5 star luxury and the hotel was in perfect condition. Swimming pool was wonderful and the brunch buffet was amazing.
28,"- Room and bathroom is very big.
- Concierge working very good.
- One of the best spa i have ever visited.
- ""The Buffet"" restaurant is the greatest open buffet restaurant of the world.
- Top quality casino with helpful and friendly staff."
29,Beautiful hotel. Restaurant were great.
30,The best value hotel in Vegas. For people who like to go all out but are not rich! It has some restaurants which are great other not so much. We liked the Red 8 and we love 'La Cave' which offers great wine tasting along with gurment tapas.
31,"location, pool, our room was very comfy and bathroom was wonderful"
32,"Fantastic hotel, in our opinion the best on the Strip! Hotel facilities and room were great. Staff friendly and helpful. Pool and pool area a brilliant. 'Le Reve' a must see..."
33,"Many amenities like clubs, cafes, restaurants etc. Within easy walking distance of everything we needed."
34,"The best hotel in Vegas. We were able to visit quite a few hotels during our stay and didn't see anything anywhere near as nice as the Wynn. The Encore, which is the sister hotel looked lovely, but the Wynn was classier in its appearance in my opinion."
35,Room had great view of the golf course and was very spacious and very modern
36,welcome at the front door sets the tone .front desk staff pleasant.  rooms are very nice and clean beds are very comfortable . the staff at the terrace pointe cafe are very accommodating great breakfast with bar they can make a great ramos fizz.
37,"- Large rooms with nice bathroom
- Friendly staff
- Nice pool area with great customer service
- Great brunch"
38,Room was amazing with the view. Gym was also very good
39,"The Buffet was amazing, the beds were very comfortable! Location was good."
40,"Decor, flower displays, attention to detail. Nightlife options, amazingly helpful staff"
41,Best place to stay in Vegas. Everything that you need is there. Big room and bathroom. Clean and comfy. Staffs are helpful and facilities are great. Casino is nice too.
42,"Very nice hotel. The view was unbelievable. The swimming pool was great. The restaurants were excellent. The room was very nice, truly enjoyable. One of the best ones in Vegas."
43,"Wynn Resort & Casino was an excellent choice, great restaurants, upscale and classy atmosphere. 
The interior is outstanding, many details to appreciate and contemplate at.
Le Reve show at the hotel is a must see.
Designers clothing like Chanel, Dior, LV etc... range of price is similar to the international market and not exaggerated or overrated."
44,Location is good because it has the theater for the show I reserved
45,"The whole hotel has more of an upper class about its self, than other hotels I have stayed in Las Vegas.The bars,restaurants and the casino the staff where fantastic I could not have been happier with the whole stay.
Asked for a heigh room and the views where amazing."
46,"Amazing pool!! Beautiful hotel!! Le Reve show amazing right in the hotel!! The food was fantastic! I LOVED the cafe coffee shop
Every morning with pastries! The bathroom was huge, shower and I would stay at this property again absolutely!!"
47,The lobby area and bar at the water falls.
48,Facilities were nice
49,Nice room with great views. Very comfy bed. Good location on the better end of the strip.
50,Stunning view of the strip!!! Hotel Design is whimsical as if we were in a fairytale!!!!! Best night clubs in town too
51,"Beautiful luxurious hotel, amazing lobby, wide variety of restaurants, Casino, very big but still well maintained, easy accessible regardless its size"
52,Cleanliness of the room and at every area of the hotel. Good facilities / amenities.
53,"Beautiful property, great restaurants"
54,"Great hotel directly on the strip, spacious and modern rooms, everything was clean and modern unlike other Vegas hotes"
55,"The hotel was nice, pool water temperature perfect. Checkout, hassle free"
56,Once we paid for an upgrade the room was lovely other then that we were looking over air conditioning vents of the hotel!
57,"All the hotel departments were excellent. They had a nanny arranged for us (who was amazing), helped us installed the baby monitor. 
I forgot my dress in the room and was almost about to leave. I called them and someone personally rushed up and got it for me in like 10 mins. Amazing experience!"
58,"Laxury & spacious rooms, enchanting design of hotel lobby"
59,Amazing experience!! From the check in to the rooms to the casino and shops. Wouldn't stay anywhere else!!
60,"Very large room, with great views down the strip"
61,"It looks like a 5-star hotel should and has fantastic facilities - casino, restaurants, pool, bars"
62,"Huge room with great view (we took the panaramic suite located level 54). 
Very confortable, AC works well (silent, proper location). Nice decoration, very clean. Impressive pool. Many great restaurants, shops, ... in the resort - easy to avoid LV summer heat.
We enjoyed our stay.. especially after 2 weeks of camping."
63,Buffet brilliant. Room lovely.
64,Property was great. Room was clean. Food was great. Staff at XS.was beyond terrible.
65,I liked our room we paid extra money for the upgrade but it was worth it.
66,The most comfortable bed ever! Staff was amazing and friendly
67,The room was very comfortable very clean the bathroom is perfect and the facilities are wonderful
68,"What an amazing experience. We had booked 2 double rooms, but upon check in were informed that we had been upgraded to an Encore fairway Villa.  Words cannot express how great the room was.  We all had a great time in Vegas.
THANKS WYNN"
69,The Wynn is a beautiful hotel and has great rooms that are understated-not your typical Vegas room.
70,"The decor of the hotel was amazingly beautiful and the room was enormous, decorated beautifully and very clean, the spa was top notch, restaurant delicious"
71,"The staff were horrible. Wait staff at all restaurants (tried to get
coffee at one restaurant and said he did not want to make it and sent us
to the coffee stand at Tableau). We paid the 40.00 resort fee. Long wait
to check in and did not get to the pool until 3. They kicked everyone
out of the pool at 6:45. They have a no pet policy. Was traveling with a
friend and she has a support animal and they refused her at check in.
She had to find a room at another hotel last minute."
72,"It was absolutely mind blowing. The property is stunning, there is so much beauty everywhere it took over an hour to walk around the hotel and appreciate the art. There's fresh flowers everywhere, it is magnificent! The room was breathtakingly beautiful and I have never slept in a more comfortable bed. I believe the Wynn have their own brand of sheets..? The food was delicious and so refined. We will be going back there for sure."
73,The hotel and rooms are extremely nice and luxurious. The location is a little bit far from the central Las Vegas Strip.
74,Everything was amazing. The rooms were beautiful. The casinos were clean. All the food was amazing. Can't wait to come back. I won't stay anywhere else in Vegas
75,"The room was wonderful, the staff is terrific. Paying for the room is one thing, a ""resort-fee"" of $39.00 is another. All bars and restaurants are extremely expensive, even of Las Vegas Upscale properties."
76,Beautiful hotel interior.
77,"This hotel was wonderful, the bed was like a cloud, the view was spectacular, 53rd floor!! 
We had dinner at the SW Steakhouse, the vibe was beautiful and the dinner was a 10/10, I strongly recommend it!
We then went to see the show Le Reve, absolutly fantastic .
Make sure you take a swimm in their beautiful pool before you leave!"
78,"Great and clean room and bathroom, nice view, free parking, nice pools"
79,"it was an awesome experience, worth every penny paid!
The Guy that made or check in was really helpful, welcoming us with a big smile.
It is the overall attitude, but it was really pleasant to feel it.
It is a whole city, great restaurants, shopping and more that what you would need."
80,"The hotel venue, the atmosphere"
81,"The view from the room is fantastic,fast checkout and the bed is very comfort."
82,Recommended by friends & just a classy friendly hotel and made to feel like royalty
83,Panoramic room. Super comfortable bed. Amazing shower. From check in to check out it was awesome.
84,The coffe shop was magnificent
85,"Spacious room and comfortable bed, beautiful green garden/golf area, both Wynn and Encore hotel pools and amenities accessible to Wynn guests. The flower arrangements in the lobby and the buffet area are very pretty"
86,The hotel rooms are nice and casino is impressive
87,The bed is comfy and nothing to complain about it
88,"Great city view, as requested on booking.  Comfortable bed.  Great employees everywhere - all excellently trained and a credit that the hospitality profession!  Good food and bartenders in the (only) bar that serves food in the late evening - can't recall its name but very good especially the eldest guy."
89,"Our room was gorgeous - we loved the view, and the bed in particular was extremely comfy. The button by the bed that opens the curtains in the morning was a nice feature. Also, the toiletries were good quality and it was nice to have the option of a bath or shower. 
In the hotel itself, we liked that the place did not reek of smoke like other hotels in Vegas. Also, the Parasol bars were a great place for a drink with friends in the evening."
90,"The hotel feel luxurious and elegant, as it is located at the far end of The Strip."
91,The chef - Russell I think was fantastic with showing me the vegan options at the buffet.
92,Room was very nice.
93,The dinner buffet is great. Intrigue nightclub is beautiful. Do yourself a favour and get the upgrade to a room with a view!
94,By far the most up-to-date and luxury resort in Las Vegas.
95,It was actually my first time staying there and I think that the rooms the size of them were very good and was happy with that in the cleanliness and all that and the view and the encore Beach club is great also
96,"Beds were very comfortable, bathroom size was nice & shower pressure was very good ."
97,The beds are super comfy
98,Steve Wynn seems to learn from every hotel he develops and just makes the next one that little bit more special.
99,"Hotel is great....,very busy though and too much smoke in and around access to hotel room elevators."
100,The majority of the staff were courtious and helpful. The resort is kept very clean and hospitable.
101,"- Heated swimming pool
- Entertainment (DJ's at the nightclub). We had David Guetta :)
- Buffee
- interior of the hotel and the room as well 
- The luxury
- Drug dog patrol"
102,The spa and the European pool was everything.. I really enjoyed my stay and I'm thinking about coming back... really soon
103,The abundant luxury that sets The Wynn apart from all other hotels.
104,the maintenance ofthe hotel
105,"Food was great, great ambience"
106,"My wife and I loved this hotel we chose to enjoy all it offered and never left the property.  Great shows, restaurants, clubs and lounge areas.  We had a wonderful experience!"
107,"The hotel was so beautiful!!! The resturants in the hotel were pricey but worth the money,"
108,The breakfast at Tableau was awesome
109,Whole property!  Best casino.  More open and airy than most.
110,"Clean 
Quiet
Never need to wait for elevators."
111,Everything was exceptionally spectacular as expected!  I seriously kept my toiletries in my bag until I was ready to use them because the bathroom was so nice I didn't want to clutter it my personal stuff.  Didn't even want to walk around the room with my shoes on.  A rare occasion that a hotel makes me feel this way.
112,The design of the hotel and its colors are awesome. Too luxury hotel👌🏼.
113,"Had a sizeable Tower Suites room at rear of hotel with views over the golf course. Very comfortable bed, large ensuite with both bath and a large shower. Excellent informative service in the Tower Bar. Helpful staff everywhere. A first rate hotel."
114,Not a  good experience the room I paid for I did not get it and I also got  no view whatsoever I was also told I was going to get hotel credit which I didn't  receive
115,"We had a very large beautiful room with the most incredible view of the mountain range and the Strip.  The entire staff was so very nice, professional, and helpful!  We would highly recommend the Wynn hotel and we can't wait to go back there."
116,"The hotel is beautiful!
The room was decorated in a very modern style, with a lot of attention to detail. Bathroom was very big and offered shower, tub 2 sinks and a vanity. Extremely spacious and luxurious.
The hotel itself offers several excellent restaurants."
117,dining options are incredible as is room service. Also like the level of quality of casinos and gaming-- even seats at slots are covered in top of the line buttery leather.
118,"The bed was very comfortable, the room was big and very clean. It's a beautiful resort, and the Jardin restaurant was amazing."
119,"Best value/quality, Great environment, I live all year in some of the world's best hotels in Dubai and this definitely is up there top 3, also stayed in other hotels in Las Vegas, they are many levels below this one."
120,"wynn is a beautiful hotel. it's everything you hope las vegas would be about. it's chic, clean, the concierge did an excellent job helping me fill out the last bit of my itinerary for restaurants and shows that i didn't book in advance (yes, sherry, i'm thinking about you!)"
121,The Allegro Restaurant served amazing food. The show was wonderful but a little overpriced.
122,Location is excellent if you only have a few days and want to combine some shopping (right next to the big mall and high end stores) with some gambling! Casino environment is much nicer than many of the others on the strip and quality of dining options and facilities is excellent
123,"Everything ! The city, the hotel's clean facilities and the magnificent in room dining team that provided the most delicious food. The staff were fabulous. A special mention to Bri, from Registration, who checked us in. She was so thorough and smooth in her approach. Checking in was a breeze and she gave us the loveliest room on the top floor (60th) with a stunning, bejewelled view of the glittering strip. Such a panoramic view of the city as well. An extremely pleasant and friendly young lady. Cheers and thanks Bri."
124,"The room was fantastic, gym facility was great, bed comfortable, view marvelous. I particularly enjoyed watching the hot air balloons drifting over the snow capped hills in the soft light of the rising sun. Probably would have enjoyed being in the balloon more, though! Staff were friendly and helpful. The show was stunning, amazing."
125,Our family loved everything about the hotel/resort and we will definitely be coming back again!
126,"Mostly everything but gym manager
Mika, front desk manager is a very good person&
Very professional:)"
127,"Great hotel, the best in Las Vegas I would say. Facilities, rooms in Encore are new and very comfortable."
128,The room was excellent! The restaurant staff was excellent!
129,"Location,decoration,luxury,"
130,Beautiful view and the hotel is very nice
131,"It seemed cleaner than most other hotels, but the staff is a bit meaner and not so accommodating."
132,Everything was super awesome! Love their interior design that are fancy and comfortable. Room was spacious and very clean and noise level was great. Swimming pool was fantastic! They adjusted water temperature well (I stayed there during 11/10-13) and cleaned well too.
133,The attention to detail at the Wynn towers is excellent! The rooms are wonderful in the tower. The restaurants were varied and yummy. The room service was quick and hot. I love it!
134,The hotel is amazing!!!
135,Room view and ammenities are amazing. The bed was so comfortable and clean. Room has separate large bathtub in addition to a standing shower.  Elevator is very fast considering we were on floor 59. Bars inside the hotel are great as are the onsite restaurants.
136,Comfortable bed
137,"Everything! The gym, the pool and the buffet!!! I would love to watch La Reve just that my 3 yrs old is not allowed, will be back! 😊 The bed and the view!!!"
138,"We booked at a discounted price so comparing to the usual price, it was a good deal. My boyfriend and I loved the setting of the room, the bedding and the nice and big bathroom. Also, we had a great time at the casino."
139,The hotel was beautiful and set up nicely. We enjoyed eating at the SW and gaming on the casino floor. We like the newer video gaming machines and Wynn had a lot to play.
140,"Excellent, but very expensive"
141,The breakfast buffet.
142,"The view from Tower Suites is exceptional! 
The pool area is so chilled, with a nice vibe of old and new music playing. 
La Cave restaurant was superb if you want a mix of traditional and new flavours. 
The Wynn creates a calm atmosphere away from the bright casino lights and busy nightlife. 
It's was perfect location to enjoy Vegas!"
143,"The staff was extremely accommodating with all of our requests.  Food was spectacular, the entire property was immaculate, we were totally wowed."
144,"The room was beautiful; the color, the amenities, but it was the lighting options that provided us a tranquil retreat. An oversized bathtub that I indulged in, crisp Egyptian 1000 count sheets engulfed me like a fluffy cloud of silk and cotton."
145,"Luxurious hotel, beautiful room, great experience"
146,"AMAZING hotel, staff and restaurants. Best place to be! My second time here!"
147,Casino floor very nice.
148,"Very nice facilities, rooms, safe access to elevator."
149,Loved the comfortable and quiet room.  Food was excellent
150,"Good restaurants, especially the cave, tasty morsels!. Comfy bed, noise ok in strip facing room. Really nice pool."
151,"Good - Amazing building with so many details. Great views of the mountains and the strip from the 59th floor. Staff was beyond friendly - so helpful in every way.  Food in all the restaurants was excellent - flavorful and fresh.  European pool was lovely, even in October (but why, why did the  Palazzo have to blot out the last 2 golden afternoon hours worth - shaking my fist). Spa access for $40/day is totally worth it - most relaxing place to go after a whirlwind of noise and energy."
152,Good rooms
153,It was a nice atmosphere and the rooms were nice
154,"Room with a view and gadgets, pool-area and decorations in the hotel."
155,"We ate at the Allegro and both Amanda and Jack were excellent servers. Moe was most helpful when we needed help on finding information.
Le Reve show was extraordinary."
156,"Very luxurious hotel with great staff all around. The buffet is unbelievable, and is worth the cost over the week (though not sure over the weekend). Top facilities and quite nice it is right at the beginning of the strip allowing you to either be a part of the hustle and bustle or take it easy (depending on what you want)"
157,"The place, room, and staff are really amazing"
158,Location and hotel style
159,"Awesome location and the the room is spacious. Awesome city facing view and the bathroom is huge. Overall, room is comfortable and cozy and feel luxurious. Price of room is reasonable for the comfort. Hotel is beautiful with its lobby decoration, with good rating restaurants of different variety. The in-house show is also award winning and worth watching. Hotel has a huge casino and a range of in-house stores. 
Room attendant is friendly, responsive and fast in helping with issues/requests which i'm really appreciative of. Have yet to explore all amendities. Will be back again. 
Location is near both The Strip and Downtown area, making it convenient to explore Vegas."
160,"Staff was very friendly, casino was very laid back and wasn't elbo to elbo which was awesome. Our room was on the 54 floor , the room was clean and had an amazing view of the strip."
161,"Our room was fantastic, so spacious, clean and with a beautiful view. The check in/ check out process was really fast and convenient . We loved dining at lakeside ( the lobster is absolutely amazing ) , the hotel is totally worth every dollar ."
162,"Great hotel , great location , big and comfortable rooms , very nice pool area , variety of breakfasts served in few restaurants ."
163,"The foyer was spectacular, the flowers and crystal birds were stunning.  The hallway colors and decor leading to the rooms were beautiful and relaxing.  The bed was like a cloud, the shower and bath were fabulous.
The view overlooking the golf course, waterfall and mountains was inspirational.
Overall I look forward to staying again."
164,The room was gorgeous.
165,"Staff are all extremely nice and very helpful.  Food is excellent at various restaurants within the property.  Rooms are very large and comfortable.  Pool area is very nice and lots of room.  Everything is very clean and even though the hotel is located at the end of the strip, it right across the street from great shopping."
166,"I loved everything the quality is a signature all over the place.  Food is very good . Very clean and  modern . Bed is wow , view ...
Everything just everything"
167,"The location , the cleanliness , the room sizes"
168,Beautiful location. The rooms are big and spacious with beautiful views. The facilities are outstanding. The hotel has good security; it makes you feel safe and comfortable.
169,amazing pool area. great big rooms. never had a TV in the bathroom.
170,Tower room= best hotel room I've ever been in; breakfast at Tableau;
171,the room was great
172,Very comfortable room with beautiful furnishings.  Floor to ceiling windows give an amazing view of the Strip.  Access to a lot of entertainment.  Fun pool
173,The Wynn tower suite was very spacious with its own lift area and breakfast in Tableau was complimentary om my booking. Comfy beds and bed linen and nice toiletries in bathroom.
174,"Loved it! We liked everything!My husband an I had a great time, Our room was nice, clean,  and the view from our room was excellent."
175,"Beautifully set out, it felt a step above most of the other Vegas hotels. It has everything you could need and the bedroom was lovely. Floor to ceiling windows were great, with a view down the strip. The brunch is amazing (go starving!)."
176,We got a high floor room facing the Las Vegas strip. The view from the room is amazing and interior is very clean with nice decors. Colour match is very pleasant. Bathroom is highly rated with a shower space and a bathtub. Overall excellent experience. Next time we will consider getting a corner room with panoramic view!
177,"It was AWESOME.
highly recommend stay in Tower Suites.
special pool, restaurant, service, and separate registration, concierge....etc."
178,Great indoor garden! Modernized room with electronic remote controlled drapery system! Fantastic show! The Dream is definitely a Must-See in Vegas if you're a show-lover!
179,Very comfy bed and pillows; and facilities.
180,"The hotel room was very spacious, and the view of the strip was amazing! The bed was soft and cozy. The bathroom was huge! It had a shower, a huge bathtub and two sinks which was separated from  the toilet."
181,Loved the resort the amenities the pool was amazing
182,Clean facilities and helpful staff.
183,"The hotel and staff where superb. 
Fantastic service throughout our stay and the hotel is absolutely beautiful..
Best hotel in the strip."
184,Bed was comfy and room was beautiful.
185,Huge rooms
186,"Big and really nice looking rooms and bathrooms, very well equipped, nice pool area, very helpful staff, great breakfast"
187,"The view from the corner room - two window walls - was wonderful.  Hotel was beautiful.  Room was large and luxurious.  Valet parking was a godsend.  We're sorry we took so long to use it, since the self-park garage in July is like an oven."
188,"the facilities, the show, a very big room and bathroom, nice view from our room"
189,"Our room was excellent and extremely comfortable, with amazing views of the Vegas strip. The lobby area is impressive."
190,"Good facilities, range of restaurants, spacious comfortable rooms"
191,"Beautiful hotel, it is the best in vegas. Casino is perfect, beach club is amazing and the bed is very comfy"
192,"The large king deluxe room was on the 22nd floor with a strip view that was unbelievable! Huge bathroom. Clean as can be. Whoever decorated this hotel is a genius. Gorgeous details. Huge bathtub with waterfall spout, comfy bed & large closet. Great selection of restaurants, gorgeous but crowded pool area. Excellent staff. Opulent hotel."
193,Very rude staff
194,Everything!!!
195,Rooms are really nice and excellent view
196,"The rooms are pure luxury .  Bed, bathroom and view, wonderful.
Room service very good.
Check out easy.
Parking convenient."
197,This hotel is beautiful. Certainly the best on the strip. Great location. Great facilities. Gorgeous rooms.
198,Everything! Room was super clean bed was very comfortable bathroom was nice and large facility was clean at all times awesome place
199,"The restaurants are very good, particularly Costa di Mare at the Wynn and Andrea's at the adjacent resort Encore. The ""Intrigue"" nightclub is beautiful. ""Parasol Down"" bar is nice, country club jazz brunch is very good. Rooms are spacious, comfortable. Staff is friendly. Shows like ""Showstoppers"" are a must see. The decor of hotel is gorgeous with different designs made of flowers. Hotel also has luxurious boutiques like Chanel. Casino has variety of slots and table games."
200,"Splendid interior and views from the rooms. I also got a free ticket to ""The Showstoppers"" show, which was nice."
201,"There are very few things not to like about this hotel, can't think
of one right now."
202,I loved how helpful and cheerful the staff was in every way.  Even when we had a mishap with the booking agency regarding our booking dates. They helped us resolve the mishap quickly and took full responsibility and forward action to make sure we had a room for the night.  The best one at that.  The staff was so helpful and when we had some free time to scout other rooms they offered they immediately had a staff member give us a tour of the available rooms.
203,"The front desk staff were friendly
The Pool was awesome."
204,"Very comfy beds, great comfy room... Lots to do in hotel"
205,"The bed _was_ like a cloud. Location is great, clubs and other hotel facilities were great. Pool is awesome."
206,"Nice, beautiful hotel. High water pressure, nice amenities."
207,"Service and amenities are great. The buffett, the pool party at encore, the wine selection at Le Cave...all great!
The room is outstanding!"
208,Very well situated
209,"hotel amenities, environment, show, restaurants"
210,"Everything is luxury and amazing about this hotel.
Best hotel by far in Vegas, I have stayed in all 5 star hotels in Vegas and this hotel is the best so far."
211,He spent the weekend we did not get sleep Friday Saturday or Sunday due to the loud music coming from the swimming pool and also a Neighbor Next Door we called Security on for loud music and partying and an hour later they started again it kind of ruined the trip for us did love the hotel room though
212,Loved the breakfast buffet with unlimited pours!
213,"Bed was great! Overall room was neat and very comfortable. I loved the ambience at the hotel. It was very lively and with options for everyone no matter the age. I got to enjoy the pool as well, the staff was very friendly and willing to accommodate you. We had lunch at the Allegro, they have really good pizza and happy hour special! Overall a very relaxing and pleasant stay."
214,"It is like Steve Wynn said to his designers architects and building contractors ""I want every little detail of every single little piece of the building looking immaculate "" - they obeyed!"
215,The food and service at Mizumi.  Our server John helped us with his suggestions which were outstanding to make it a truly memorable meal and evening.
216,"The construction quality and cleanliness, most especially the bedroom suite was a good size and very clean"
217,"At arrival, they claimed only 1 room from Booking was reserved. We reserved 2."
218,Rooms and staff were very good
219,"Nice veiw, CHK IN manager gave us connecting rooms."
220,The room was clean and nicely decorated. marble floors very nice.
221,"We were treated with complete class. It started with being checked in by JJ, who gave us totally 5 star + treatment. Once we told him we were getting married, he upgraded our room for a slight surcharge to the top floor with a perfect and absolutely stunning view. We have stayed in the best hotels in Dubai and our experience at the Wynn surpassed our previous experiences.
We are back home now and are still talking about the room.  My wife and I were truly sad to leave and will be back to the Wynn/Encore again."
222,"size of bedrooms,chooice of restaurants,space and ambient and quiet location in close distance to center"
223,Food bars casino service all 5 star
224,"Great dining, beautiful main area"
225,"the room was amazing, the hotel is amazing, the best casino, the best hotel in contrast to other hotels we visited. Not over crowded, good location. Lake of dreams is pretty cool. New hotel and very clean"
226,Excellent service displayed by every member of staff
227,"We upgraded to the suit, it was the best thing we did...Our whole stay was incredible. 
Make sure you go and enjoy the buffet with the endless pour fizz.... Amazing"
228,"The room was upscale and beautiful. We did not splurge for the room with a view of the strip, but the view was still great. Everything was perfectly clean, staff was kind and informational, and the self parking was easy."
229,"The staff was very friendly. Robert, the concierge was particularly helpful and a wealth of knowledge. The hotel show was great."
230,"Staff very attentive.
Good location"
231,"Rooms
Swimming pool 
Show theater"
232,Facilities is good
233,Good hotel
234,swimming pool is very good
235,All is prefect
236,Excellent decor staff were extremely helpful and friendly. Rooms very clean. Excellent facilities. My favourite hotel to stay on the strip.
237,The Las Vegas strip and gambling
238,The room was excellent and so was the service.  The facility was very clean and elegant.  The view was spectacular.
239,Nice a&clean . Location
240,The location and the facility.
241,"Great hotel, with so much to offer"
242,Pool is fantastic. Staff are so nice.
243,The.hotel complete is awesome from service to amenities all great and location location location..  I would come back to this hotel for sure
244,The best hotel in Las Vegas. Top notch from top to bottom. We will definitely go back there.
245,Rooms are spacious and gorgeous. Food while expensive was great.
246,Room is beautiful
247,Standard is very high whilst some other strip properties have slipped
248,best   very good
249,Flowers in lobby
250,Everything was top notch.  Double sinks in bathroom. Huge room elegant
251,"Luxurious, clean, with great views"
252,This hotel is amazing
253,View of the city was amazing. Rooms are perfect and cleans. Best hotel in vegas
254,"The layout is convenient, lots of new games a great food choices."
255,Loved it
256,we sawb Le reve and loved it!
257,Everything
258,The high end quality of the hotel compared with others. Staff attention and hospitality. Good quality food in restaurants.
259,"Experience Tower Suites, you won't regret."
260,"3 Night club, Omnia is walking distance- Great Encore Pool Party. Beautiful View"
261,View
262,"Outstanding facility, no better place to stay."
263,Just super great
264,"Hotel is very Comfortable, Nice, safe. We got a great room with a very nice view.  Absolutely recommended"
265,The room is good
266,"Not too much, we where expecting more"
267,Everything
268,Simply the best and most elegant hotel in Las Vegas
269,Everything
270,Top Hotel - meets highest expectations
271,Gorgeous room.  Friendly staff.  Beautiful hotel and casino.
272,Great service all over the place. Good restaurants(Red the best one). Best hotel in Vegas by far.
273,You charged me more thanthe hotel site would have charged.
274,The room was clean and comfortable accept for the bed. Staff was friendly
275,"Great room (standard one was still large!), lots of facilities"
276,Evrythinh
277,"Upgraded my stay to a higher floor, got an awesome view facing the strip."
278,Great room and view!
279,Clean rooms
280,We ate at several restaurants on location and food was excellent at all places.  Atmosphere was also fun.
281,Beds were extra comfy and very spacious room.
282,"It was our 25th anniversary - they upgraded us to a suite - it was perfectly divine!
And Wynn has the best brunch hands down"
283,"Helpful and kind staff, nice pool, room cleaned twice per day"
284,Great staff and hotel very nice. Excellent buffet inside the hotel.
285,“Spetacular Hotel!!!!! .....” Fabulous Interior Decoration! .... Number 1 in Las Vegas! ...
286,Everything - the hotel was amazing
287,The staff was extremely helpful in all areas!!!!!!
288,"Privacy, 55th floor with great view, breakfast ( don't forget the reservation)"
289,The buffet was excellent
290,The bed was fantastic and room was very clean.
291,Amazing hotel wonderful views from room. Lovely comfy bed with soft bedding
292,The bathroom was very spacious.  Loved the touch control ighting. The beds were also very comfortable.
293,Very comfortable based and great interior
294,"Beautiful Hotel
Everything is perfect!"
295,"Big bed room
Buffet"
296,The whole place was really nice perfect service kind staff
